,patente,fch,hra,LONG,LAT
, JPJB 40,25-03-2024,17:39:09,"-70,101675","-20,270637"
, JPJB 40,25-03-2024,17:39:13,"-70,10145","-20,270514"
, JPJB 40,25-03-2024,17:39:24,"-70,101039","-20,2703"
, JPJB 40,25-03-2024,17:40:08,"-70,100837","-20,2702"
, JPJB 40,25-03-2024,17:40:13,"-70,100224","-20,269878"
, JPJB 40,25-03-2024,17:40:24,"-70,099984","-20,269754"
, JPJB 40,25-03-2024,17:40:34,"-70,099935","-20,269713"
, JPJB 40,25-03-2024,17:40:37,"-70,099929","-20,269683"
, JPJB 40,25-03-2024,17:40:39,"-70,099952","-20,269633"
, JPJB 40,25-03-2024,17:40:43,"-70,100068","-20,269468"
, JPJB 40,25-03-2024,17:43:25,"-70,100188","-20,269219"
, JPJB 40,25-03-2024,17:43:34,"-70,100444","-20,268781"
, JPJB 40,25-03-2024,17:43:39,"-70,10047","-20,268768"
, JPJB 40,25-03-2024,17:43:42,"-70,100527","-20,268776"
, JPJB 40,25-03-2024,17:43:44,"-70,10063","-20,268832"
, JPJB 40,25-03-2024,17:43:55,"-70,100894","-20,268957"
, JPJB 40,25-03-2024,17:44:04,"-70,101042","-20,269048"
, JPJB 40,25-03-2024,17:44:15,"-70,101256","-20,269157"
, JPJB 40,25-03-2024,17:44:45,"-70,101525","-20,269269"
, JPJB 40,25-03-2024,17:45:05,"-70,101804","-20,269406"
, JPJB 40,25-03-2024,17:45:15,"-70,102318","-20,269658"
, JPJB 40,25-03-2024,17:45:16,"-70,102339","-20,269654"
, JPJB 40,25-03-2024,17:45:18,"-70,102371","-20,269629"
, JPJB 40,25-03-2024,17:45:25,"-70,102576","-20,269274"
, JPJB 40,25-03-2024,17:45:34,"-70,102738","-20,268816"
, JPJB 40,25-03-2024,17:45:45,"-70,102311","-20,268622"
, JPJB 40,25-03-2024,17:46:05,"-70,102319","-20,268725"
, JPJB 40,25-03-2024,17:46:25,"-70,102243","-20,268811"
, JPJB 40,26-03-2024,04:01:14,"-70,102449","-20,268607"
, JPJB 40,26-03-2024,09:20:31,"-70,102286","-20,268871"
, JPJB 40,26-03-2024,09:24:37,"-70,102317","-20,268794"
, JPJB 40,26-03-2024,09:24:41,"-70,102348","-20,268735"
, JPJB 40,26-03-2024,09:24:47,"-70,102372","-20,268649"
, JPJB 40,26-03-2024,09:24:49,"-70,102334","-20,268612"
, JPJB 40,26-03-2024,09:24:51,"-70,102228","-20,268559"
, JPJB 40,26-03-2024,09:25:31,"-70,101928","-20,268454"
, JPJB 40,26-03-2024,09:25:32,"-70,101889","-20,268516"
, JPJB 40,26-03-2024,09:29:52,"-70,101793","-20,26872"
, JPJB 40,26-03-2024,09:29:54,"-70,10173","-20,268789"
, JPJB 40,26-03-2024,09:30:04,"-70,101549","-20,269265"
, JPJB 40,26-03-2024,09:30:05,"-70,101579","-20,269286"
, JPJB 40,26-03-2024,09:30:15,"-70,101994","-20,269494"
, JPJB 40,26-03-2024,09:30:25,"-70,102316","-20,269644"
, JPJB 40,26-03-2024,09:30:37,"-70,102801","-20,269903"
, JPJB 40,26-03-2024,09:30:45,"-70,103257","-20,270047"
, JPJB 40,26-03-2024,09:30:55,"-70,103584","-20,269803"
, JPJB 40,26-03-2024,09:31:05,"-70,103656","-20,269774"
, JPJB 40,26-03-2024,09:31:15,"-70,103896","-20,269982"
, JPJB 40,26-03-2024,09:31:27,"-70,104022","-20,270123"
, JPJB 40,26-03-2024,09:31:35,"-70,104313","-20,270465"
, JPJB 40,26-03-2024,09:31:45,"-70,104458","-20,270975"
, JPJB 40,26-03-2024,09:31:55,"-70,104537","-20,271285"
, JPJB 40,26-03-2024,09:32:10,"-70,104561","-20,271518"
, JPJB 40,26-03-2024,09:32:12,"-70,104489","-20,271561"
, JPJB 40,26-03-2024,09:32:15,"-70,104302","-20,271592"
, JPJB 40,26-03-2024,09:32:25,"-70,103618","-20,271775"
, JPJB 40,26-03-2024,09:32:33,"-70,103535","-20,271821"
, JPJB 40,26-03-2024,09:32:35,"-70,10351","-20,271869"
, JPJB 40,26-03-2024,09:32:45,"-70,103585","-20,27209"
, JPJB 40,26-03-2024,09:33:05,"-70,103721","-20,272382"
, JPJB 40,26-03-2024,09:33:16,"-70,103882","-20,272688"
, JPJB 40,26-03-2024,09:33:18,"-70,103949","-20,27269"
, JPJB 40,26-03-2024,09:33:26,"-70,104332","-20,272539"
, JPJB 40,26-03-2024,09:33:36,"-70,1047","-20,272442"